nationality id,nationality name
45,Spain
14,England
46,Sweden
18,France
24,Iceland
18,France
21,Germany
14,England
14,England
14,England
14,England
14,England
18,France
80,Haiti
72,Costa Rica
18,France
18,France
18,France
14,England
70,Canada
18,France
45,Spain
46,Sweden
163,Japan
83,Mexico
14,England
36,Norway
42,Scotland
34,Netherlands
54,Brazil
54,Brazil
54,Brazil
54,Brazil
36,Norway
83,Mexico
52,Argentina
155,China PR
195,Australia
45,Spain
83,Mexico
18,France
46,Sweden
7,Belgium
38,Portugal
38,Portugal
38,Portugal
14,England
36,Norway
18,France
17,Finland
47,Switzerland
14,England
82,Jamaica
14,England
14,England
14,England
14,England
14,England
25,Republic of Ireland
18,France
40,Russia
18,France
80,Haiti
18,France
18,France
80,Haiti
17,Finland
126,Mali
24,Iceland
45,Spain
45,Spain
18,France
18,France
14,England
195,Australia
70,Canada
34,Netherlands
46,Sweden
45,Spain
54,Brazil
54,Brazil
42,Scotland
42,Scotland
42,Scotland
82,Jamaica
52,Argentina
52,Argentina
52,Argentina
52,Argentina
70,Canada
34,Netherlands
18,France
7,Belgium
7,Belgium
38,Portugal
38,Portugal
38,Portugal
45,Spain
46,Sweden
34,Netherlands
46,Sweden
18,France
18,France
4,Austria
22,Greece
14,England
14,England
129,Morocco
42,Scotland
50,Wales
14,England
155,China PR
18,France
18,France
14,England
18,France
18,France
80,Haiti
24,Iceland
18,France
18,France
38,Portugal
18,France
24,Iceland
13,Denmark
45,Spain
45,Spain
45,Spain
45,Spain
155,China PR
155,China PR
18,France
34,Netherlands
14,England
54,Brazil
54,Brazil
54,Brazil
42,Scotland
42,Scotland
52,Argentina
14,England
83,Mexico
7,Belgium
7,Belgium
46,Sweden
13,Denmark
18,France
18,France
133,Nigeria
14,England
14,England
13,Denmark
14,England
50,Wales
70,Canada
18,France
24,Iceland
18,France
18,France
18,France
18,France
38,Portugal
13,Denmark
14,England
25,Republic of Ireland
24,Iceland
95,United States
95,United States
18,France
18,France
24,Iceland
95,United States
167,Korea Republic
47,Switzerland
13,Denmark
45,Spain
70,Canada
18,France
45,Spain
70,Canada
198,New Zealand
54,Brazil
54,Brazil
42,Scotland
42,Scotland
42,Scotland
42,Scotland
42,Scotland
155,China PR
46,Sweden
155,China PR
42,Scotland
34,Netherlands
155,China PR
83,Mexico
70,Canada
7,Belgium
7,Belgium
7,Belgium
7,Belgium
38,Portugal
38,Portugal
38,Portugal
38,Portugal
38,Portugal
7,Belgium
13,Denmark
13,Denmark
14,England
14,England
14,England
14,England
14,England
14,England
25,Republic of Ireland
25,Republic of Ireland
14,England
45,Spain
18,France
18,France
18,France
18,France
18,France
18,France
36,Norway
42,Scotland
50,Wales
50,Wales
18,France
18,France
18,France
95,United States
70,Canada
18,France
95,United States
18,France
38,Portugal
24,Iceland
37,Poland
18,France
37,Poland
7,Belgium
18,France
54,Brazil
36,Norway
83,Mexico
34,Netherlands
155,China PR
14,England
14,England
52,Argentina
103,Cameroon
42,Scotland
155,China PR
7,Belgium
7,Belgium
38,Portugal
38,Portugal
38,Portugal
36,Norway
4,Austria
14,England
14,England
14,England
14,England
14,England
14,England
14,England
18,France
145,Tunisia
18,France
42,Scotland
24,Iceland
14,England
25,Republic of Ireland
14,England
14,England
35,Northern Ireland
36,Norway
18,France
18,France
7,Belgium
155,China PR
18,France
24,Iceland
24,Iceland
24,Iceland
52,Argentina
18,France
18,France
18,France
14,England
35,Northern Ireland
18,France
155,China PR
155,China PR
14,England
83,Mexico
83,Mexico
155,China PR
36,Norway
198,New Zealand
36,Norway
83,Mexico
83,Mexico
155,China PR
42,Scotland
42,Scotland
83,Mexico
7,Belgium
38,Portugal
38,Portugal
18,France
14,England
14,England
14,England
13,Denmark
36,Norway
18,France
13,Denmark
25,Republic of Ireland
14,England
7,Belgium
34,Netherlands
34,Netherlands
54,Brazil
15,Montenegro
38,Portugal
18,France
18,France
40,Russia
18,France
18,France
18,France
97,Algeria
25,Republic of Ireland
18,France
14,England
140,South Africa
155,China PR
155,China PR
36,Norway
52,Argentina
36,Norway
7,Belgium
7,Belgium
7,Belgium
38,Portugal
38,Portugal
38,Portugal
38,Portugal
38,Portugal
83,Mexico
195,Australia
24,Iceland
18,France
18,France
42,Scotland
14,England
14,England
14,England
14,England
70,Canada
155,China PR
18,France
18,France
18,France
18,France
18,France
25,Republic of Ireland
95,United States
38,Portugal
70,Canada
108,Côte d'Ivoire
24,Iceland
24,Iceland
18,France
36,Norway
36,Norway
25,Republic of Ireland
48,Turkey
35,Northern Ireland
108,Côte d'Ivoire
35,Northern Ireland
70,Canada
14,England
52,Argentina
83,Mexico
18,France
18,France
14,England
82,Jamaica
14,England
34,Netherlands
70,Canada
14,England
18,France
108,Côte d'Ivoire
36,Norway
18,France
18,France
18,France
18,France
18,France
140,South Africa
83,Mexico
83,Mexico
52,Argentina
155,China PR
52,Argentina
52,Argentina
18,France
50,Wales
34,Netherlands
18,France
42,Scotland
40,Russia
14,England
50,Wales
18,France
18,France
18,France
103,Cameroon
24,Iceland
24,Iceland
18,France
18,France
14,England
18,France
18,France
97,Algeria
18,France
18,France
103,Cameroon
133,Nigeria
83,Mexico
70,Canada
52,Argentina
18,France
26,Israel
18,France
18,France
14,England
49,Ukraine
14,England
155,China PR
34,Netherlands
83,Mexico
50,Wales
50,Wales
120,Kenya
18,France
52,Argentina
52,Argentina
52,Argentina
52,Argentina
18,France
18,France
36,Norway
133,Nigeria
14,England
14,England
70,Canada
14,England
24,Iceland
18,France
14,England
14,England
18,France
18,France
18,France
14,England
35,Northern Ireland
14,England
18,France
18,France
18,France
14,England
108,Côte d'Ivoire
50,Wales
14,England
14,England
18,France
18,France
24,Iceland
14,England
188,Thailand
36,Norway
14,England
18,France
14,England
18,France
14,England
14,England
18,France
14,England
14,England
50,Wales
14,England
50,Wales
14,England
14,England
42,Scotland
14,England
14,England
14,England
14,England
14,England
14,England
7,Belgium
27,Italy
14,England
18,France
14,England
195,Australia
36,Norway
18,France
95,United States
14,England
14,England
18,France
18,France
34,Netherlands
42,Scotland
55,Chile
21,Germany
18,France
70,Canada
34,Netherlands
21,Germany
18,France
14,England
21,Germany
14,England
95,United States
21,Germany
95,United States
95,United States
95,United States
46,Sweden
14,England
36,Norway
21,Germany
21,Germany
95,United States
95,United States
95,United States
18,France
34,Netherlands
13,Denmark
95,United States
37,Poland
4,Austria
18,France
18,France
18,France
70,Canada
18,France
14,England
95,United States
14,England
45,Spain
95,United States
21,Germany
70,Canada
46,Sweden
46,Sweden
46,Sweden
46,Sweden
46,Sweden
46,Sweden
18,France
70,Canada
70,Canada
95,United States
34,Netherlands
70,Canada
195,Australia
18,France
14,England
36,Norway
14,England
21,Germany
18,France
42,Scotland
133,Nigeria
21,Germany
21,Germany
21,Germany
21,Germany
18,France
25,Republic of Ireland
14,England
95,United States
95,United States
95,United States
21,Germany
195,Australia
14,England
14,England
18,France
83,Mexico
45,Spain
34,Netherlands
34,Netherlands
95,United States
46,Sweden
54,Brazil
54,Brazil
42,Scotland
18,France
14,England
70,Canada
21,Germany
18,France
18,France
14,England
47,Switzerland
18,France
18,France
47,Switzerland
95,United States
46,Sweden
36,Norway
195,Australia
14,England
18,France
18,France
21,Germany
18,France
14,England
18,France
21,Germany
21,Germany
18,France
45,Spain
34,Netherlands
54,Brazil
54,Brazil
14,England
21,Germany
18,France
14,England
18,France
14,England
21,Germany
18,France
47,Switzerland
14,England
17,Finland
47,Switzerland
14,England
43,Slovakia
61,Venezuela
21,Germany
14,England
18,France
18,France
18,France
18,France
54,Brazil
83,Mexico
83,Mexico
18,France
95,United States
45,Spain
46,Sweden
21,Germany
95,United States
95,United States
95,United States
54,Brazil
54,Brazil
54,Brazil
163,Japan
42,Scotland
14,England
45,Spain
7,Belgium
14,England
95,United States
24,Iceland
47,Switzerland
37,Poland
47,Switzerland
14,England
50,Wales
14,England
14,England
12,Czech Republic
155,China PR
46,Sweden
195,Australia
18,France
70,Canada
14,England
34,Netherlands
34,Netherlands
70,Canada
70,Canada
34,Netherlands
18,France
24,Iceland
54,Brazil
54,Brazil
18,France
163,Japan
14,England
14,England
18,France
18,France
37,Poland
37,Poland
12,Czech Republic
50,Wales
14,England
14,England
34,Netherlands
18,France
95,United States
51,Serbia
163,Japan
95,United States
155,China PR
155,China PR
155,China PR
195,Australia
195,Australia
18,France
70,Canada
70,Canada
83,Mexico
195,Australia
45,Spain
34,Netherlands
70,Canada
18,France
36,Norway
18,France
21,Germany
54,Brazil
54,Brazil
82,Jamaica
34,Netherlands
21,Germany
21,Germany
21,Germany
7,Belgium
7,Belgium
7,Belgium
18,France
18,France
25,Republic of Ireland
24,Iceland
14,England
50,Wales
18,France
18,France
18,France
24,Iceland
195,Australia
21,Germany
18,France
70,Canada
45,Spain
198,New Zealand
34,Netherlands
46,Sweden
46,Sweden
21,Germany
27,Italy
42,Scotland
42,Scotland
167,Korea Republic
46,Sweden
103,Cameroon
46,Sweden
45,Spain
7,Belgium
21,Germany
45,Spain
70,Canada
18,France
14,England
14,England
14,England
17,Finland
25,Republic of Ireland
21,Germany
14,England
14,England
50,Wales
50,Wales
18,France
18,France
18,France
18,France
80,Haiti
18,France
18,France
46,Sweden
108,Côte d'Ivoire
46,Sweden
163,Japan
45,Spain
14,England
14,England
36,Norway
70,Canada
167,Korea Republic
36,Norway
198,New Zealand
54,Brazil
52,Argentina
52,Argentina
52,Argentina
103,Cameroon
45,Spain
36,Norway
45,Spain
45,Spain
45,Spain
18,France
7,Belgium
45,Spain
14,England
46,Sweden
18,France
24,Iceland
21,Germany
14,England
14,England
14,England
18,France
80,Haiti
18,France
72,Costa Rica
18,France
18,France
18,France
14,England
83,Mexico
70,Canada
18,France
45,Spain
46,Sweden
14,England
36,Norway
42,Scotland
34,Netherlands
54,Brazil
54,Brazil
54,Brazil
54,Brazil
36,Norway
52,Argentina
52,Argentina
155,China PR
195,Australia
83,Mexico
18,France
46,Sweden
7,Belgium
38,Portugal
38,Portugal
36,Norway
18,France
17,Finland
47,Switzerland
14,England
82,Jamaica
14,England
14,England
14,England
14,England
14,England
14,England
25,Republic of Ireland
18,France
40,Russia
18,France
80,Haiti
18,France
18,France
80,Haiti
17,Finland
126,Mali
24,Iceland
45,Spain
45,Spain
95,United States
18,France
18,France
14,England
195,Australia
70,Canada
34,Netherlands
45,Spain
54,Brazil
54,Brazil
42,Scotland
42,Scotland
42,Scotland
82,Jamaica
52,Argentina
52,Argentina
52,Argentina
52,Argentina
70,Canada
70,Canada
34,Netherlands
18,France
45,Spain
7,Belgium
7,Belgium
38,Portugal
38,Portugal
45,Spain
14,England
46,Sweden
18,France
46,Sweden
18,France
18,France
4,Austria
22,Greece
14,England
129,Morocco
42,Scotland
50,Wales
14,England
155,China PR
18,France
14,England
18,France
18,France
80,Haiti
13,Denmark
18,France
18,France
38,Portugal
18,France
24,Iceland
13,Denmark
45,Spain
45,Spain
45,Spain
155,China PR
155,China PR
18,France
34,Netherlands
46,Sweden
14,England
54,Brazil
54,Brazil
54,Brazil
42,Scotland
42,Scotland
52,Argentina
52,Argentina
45,Spain
14,England
83,Mexico
7,Belgium
7,Belgium
38,Portugal
46,Sweden
13,Denmark
18,France
18,France
133,Nigeria
14,England
14,England
14,England
50,Wales
70,Canada
18,France
18,France
24,Iceland
18,France
18,France
18,France
18,France
38,Portugal
14,England
25,Republic of Ireland
24,Iceland
95,United States
24,Iceland
95,United States
18,France
18,France
24,Iceland
95,United States
167,Korea Republic
47,Switzerland
13,Denmark
70,Canada
83,Mexico
18,France
45,Spain
70,Canada
198,New Zealand
54,Brazil
54,Brazil
42,Scotland
42,Scotland
42,Scotland
42,Scotland
83,Mexico
42,Scotland
155,China PR
46,Sweden
155,China PR
42,Scotland
34,Netherlands
155,China PR
83,Mexico
70,Canada
7,Belgium
7,Belgium
7,Belgium
7,Belgium
38,Portugal
38,Portugal
38,Portugal
38,Portugal
38,Portugal
38,Portugal
7,Belgium
13,Denmark
13,Denmark
14,England
14,England
14,England
14,England
14,England
14,England
14,England
25,Republic of Ireland
25,Republic of Ireland
13,Denmark
14,England
45,Spain
18,France
18,France
18,France
18,France
18,France
18,France
36,Norway
42,Scotland
50,Wales
50,Wales
18,France
18,France
18,France
95,United States
70,Canada
18,France
95,United States
18,France
38,Portugal
24,Iceland
37,Poland
18,France
37,Poland
7,Belgium
18,France
54,Brazil
45,Spain
36,Norway
83,Mexico
34,Netherlands
155,China PR
14,England
14,England
52,Argentina
103,Cameroon
83,Mexico
155,China PR
7,Belgium
7,Belgium
38,Portugal
38,Portugal
38,Portugal
36,Norway
4,Austria
14,England
14,England
14,England
14,England
14,England
14,England
14,England
18,France
145,Tunisia
18,France
42,Scotland
24,Iceland
13,Denmark
14,England
25,Republic of Ireland
14,England
14,England
35,Northern Ireland
36,Norway
18,France
18,France
7,Belgium
155,China PR
18,France
24,Iceland
24,Iceland
24,Iceland
52,Argentina
18,France
18,France
14,England
35,Northern Ireland
18,France
45,Spain
155,China PR
155,China PR
14,England
83,Mexico
83,Mexico
155,China PR
36,Norway
198,New Zealand
36,Norway
83,Mexico
83,Mexico
155,China PR
83,Mexico
42,Scotland
42,Scotland
42,Scotland
83,Mexico
7,Belgium
38,Portugal
38,Portugal
34,Netherlands
18,France
14,England
14,England
14,England
13,Denmark
36,Norway
18,France
25,Republic of Ireland
14,England
7,Belgium
34,Netherlands
54,Brazil
15,Montenegro
38,Portugal
18,France
18,France
40,Russia
18,France
18,France
18,France
97,Algeria
25,Republic of Ireland
18,France
18,France
14,England
140,South Africa
155,China PR
83,Mexico
155,China PR
36,Norway
52,Argentina
36,Norway
7,Belgium
7,Belgium
7,Belgium
38,Portugal
38,Portugal
38,Portugal
38,Portugal
38,Portugal
83,Mexico
83,Mexico
195,Australia
24,Iceland
18,France
42,Scotland
14,England
14,England
14,England
14,England
155,China PR
18,France
18,France
18,France
18,France
25,Republic of Ireland
34,Netherlands
95,United States
38,Portugal
70,Canada
108,Côte d'Ivoire
24,Iceland
24,Iceland
18,France
36,Norway
36,Norway
25,Republic of Ireland
48,Turkey
35,Northern Ireland
108,Côte d'Ivoire
35,Northern Ireland
70,Canada
14,England
52,Argentina
83,Mexico
83,Mexico
18,France
18,France
14,England
82,Jamaica
14,England
34,Netherlands
70,Canada
14,England
18,France
108,Côte d'Ivoire
36,Norway
18,France
18,France
18,France
18,France
18,France
140,South Africa
52,Argentina
155,China PR
52,Argentina
52,Argentina
18,France
50,Wales
34,Netherlands
70,Canada
18,France
18,France
42,Scotland
